case_id,score
1592795,0.862782685531835
629464,0.03906832989889186
1476459,0.014243392539256172
2656980,0.42088660145548706
1270499,0.11108735883212528
722288,0.8157145265840432
682633,0.5780727118126479
2550820,0.2116423479425357
22444,0.2346421765339098
1291262,0.14471866949867496
137388,0.5223352856026462
1434077,0.06497452127566461
1767624,0.27929697471754283
2607354,0.20803723149656048
927891,0.26042103700707264
1327094,0.7107293292624017
1800308,0.04543535398893321
2530927,0.5575210279334988
1300334,0.3956988630438638
2573587,0.2503571073375442
862768,0.12866230625629962
1252989,0.4684102868875663
1898995,0.08359985327060565
946330,0.10581050774235423
1632153,0.5325939134138338
1400060,0.43829323421572475
152738,0.19210206399115867
1894896,0.2845445696734837
1374086,0.07876727303536603
1739741,0.13580239874920497
598903,0.5445808289557099
823133,0.5248998459554366
1818043,0.007544354620410014
987808,0.03391195580907559
183093,0.09461578211512194
24729,0.8338472251466383
2645505,0.2044672607885653
876466,0.01400712133662158
1493750,0.04066647369256654
1342179,0.1669206777166797
1574500,0.7672664870026777
969427,0.5497991155667702
1410536,0.4305835832324167
660694,0.25800264589074634
981947,0.32072491229751376
1489597,0.01080334071140651
1789576,0.04728793804650307
1563140,0.8165928294068656
1383218,0.21553453770165049
1437370,0.48040649446147
2643478,0.5147274539763135
772884,0.16780623850171125
1906506,0.42663440360522004
1596159,0.019744628152898624
729068,0.0031586886530890453
1316300,0.034456460823237535
1262891,0.04305706178088113
785040,0.04912968795426927
2575157,0.40567237251750676
1309420,0.18974788017236527
1394885,0.028424382963221962
46287,0.5033083165447408
1707758,0.07129256433668828
1435120,0.8230218639352307
1006927,0.16018824797893777
1629580,0.16537406522292644
904101,0.5663960713703176
1846475,0.11379870181464828
2544294,0.2296176010815291
1802852,0.40415139061640415
1515080,0.02046189374254061
2577403,0.050584823756143184
1566534,0.016126138408427457
245538,0.09090404985231801
1472258,0.08055240786317261
1863554,0.09885638565511662
2570262,0.6300434960339194
828094,0.09483978863803637
676381,0.5806443278373896
1686553,0.28936590622944375
1027201,0.18270190125169516
1397857,0.014012051314733357
733975,0.15802654761990573
630634,0.2012181568368864
1306129,0.43863057433942626
240517,0.04869119705197133
671324,0.7004068234150942
1606560,0.0013786865588725518
1390041,0.014607146173316845
945350,0.2666656230719887
880960,0.03778230801309429
963842,0.6600810384505525
1944241,0.13034702130249895
165841,0.04714072243749465
1833634,0.6031750617078837
1926244,0.3661084513936593
1393830,0.5060686973105252
1301989,0.4190389863394893
1414600,0.011768176530852617
717158,0.14699853148139524
227852,0.5297918454638587
235408,0.33420159367967306
1742135,0.049929428876458085
31873,0.5922017942076555
1626951,0.017103290318446415
757201,0.4430853166843236
1635802,0.5487429116304732
1281477,0.04420834140897113
1577432,0.21092844196462987
1822167,0.03306225821772987
990474,0.5649040470318466
1675346,0.05225889214444648
2542795,0.15648143515735355
1004417,0.08163656137249561
2641783,0.45435568835451134
786923,0.07201804977165786
26644,0.7703562236809467
672699,0.5909152014058118
734464,0.2362238188501499
1379826,0.0411756166089247
768358,0.08551529182615647
742682,0.5019393072063153
2632301,0.8701649046982747
2671424,0.7577773002581714
203489,0.2611573306605882
2655133,0.395594812648536
878885,0.23124820190366108
1309916,0.061405128527029194
773973,0.5275423301151047
1427447,0.32430722141690754
2553814,0.403608301706689
46297,0.6021207363609601
617026,0.08722277015161692
1815253,0.7708009321785185
1393146,0.0853754677380216
1859404,0.040768519252756416
2628488,0.8232747516741947
869222,0.3749555024346401
2576645,0.3716733078297777
1845757,0.5736942506391974
1302974,0.022701033769408508
878183,0.006995773648541719
